1937E     NGC1482          58.66250000 -20.50250000  -9.00000000 -99.00000000 S0/a     -1.0    64.   103.  1859.000  13.14   1.38   -24.0    51.0   - 15.00 * I:       Nov26       *Zwicky
1937F     NGC3184         154.57083333  41.42444444  -9.00000000 -99.00000000 SBc       6.0    15.   135.   588.000  10.28   1.88     5.0  -149.0   - 13.90 - IIP:     Dec26       Zwicky,Jones
1938A     M+06-06-68       39.41666667  34.43194444  -9.00000000 -99.00000000 SBa       1.1    54.  -100.  4918.000  14.20   1.07    -8.0   -28.0   - 15.20 : I        Nov17       *Zwicky
1938B     NGC2672         132.34166667  19.07500000  -9.00000000 -99.00000000 E        -5.0  -100.  -100.  4129.000  12.64   1.41    31.0   -19.0   - 15.50 * -        -           Wachmann
1938C     A131554+2526    198.97500000  25.43472222  -9.00000000 -99.00000000 Sm        9.5    90.    27.   941.000  15.40   1.09    31.0   -20.0   - 17.70 * -        May         *Klein
1939A     NGC4636         190.70833333   2.68805556  -9.00000000 -99.00000000 E        -4.8  -100.   150.  1090.000  10.35   1.81   -26.0    20.0   B 12.80 - Ia       Jan25       Zwicky
1939B     NGC4621         190.51250000  11.64694444  -9.00000000 -99.00000000 E        -5.0  -100.   165.   433.000  10.66   1.70     0.0   -53.0   B 12.30 - I        May1        Zwicky
1939C     NGC6946         308.71666667  60.15416667  -9.00000000 -99.00000000 SBc       5.9    29.  -100.    48.000   9.58   2.05  -215.0    24.0   B 13.70 - I:       Jun:        Zwicky
1939D     M-01-03-41       14.39583333  -5.00250000  -9.00000000 -99.00000000 Sc        6.0    51.    95.  5746.000  14.35   0.98    -9.0    11.0   - 16.00 * -        Dec4        *Zwicky
1940A     NGC5907         228.97083333  56.32611111  -9.00000000 -99.00000000 Sc        5.1    90.   155.   666.000  11.01   2.07   137.0  -310.0   - 14.40 - IIL      Feb15       Johnson
1940B     NGC4725         192.61250000  25.50027778  -9.00000000 -99.00000000 SBab      2.2    49.    35.  1206.000   9.95   2.02    95.0   118.0   - 12.80 - IIP      May4        Johnson
1940C     IC1099          226.72916667  56.50916667  -9.00000000 -99.00000000 Sc:       4.7    34.   177.  8877.000  14.79   1.08 -9999.9 -9999.9   - 16.30 * II:      May4        *Zwicky
1940D     NGC4545         188.64166667  63.52750000  -9.00000000 -99.00000000 SBc       5.9    56.     8.  2728.000  13.16   1.40    -9.0    20.0   - 15.00 * -        Jul25       *Johnson
1940E     NGC253           11.88750000 -25.28833333  -9.00000000 -99.00000000 SBc       5.1    84.    52.   248.000   7.92   2.43   -51.0   -17.0   B 14.30 - I        Nov         Zwicky
1941A     NGC4559         188.98750000  27.96472222  -9.00000000 -99.00000000 SBc       6.2    71.   150.   815.000  10.38   2.05   -30.0    26.0   - 13.20 - IIL      Mar28       Jones
1941B     NGC3254         157.33333333  29.49111111  -9.00000000 -99.00000000 Sbc       3.9    77.    46.  1352.000  12.40   1.68   -10.0   -34.0   - 15.10 * -        Mar28       Johnson
1941C     NGC4136         182.32500000  29.92694444  -9.00000000 -99.00000000 SBc       5.2    22.  -100.   605.000  11.83   1.59    44.0   -67.0   - 16.80 * II       Apr16       *Jones
1945A     NGC5195         202.49583333  47.27250000  -9.00000000 -99.00000000 SBab      2.2    39.    79.   472.000  10.26   1.76    -6.0    -4.0   V 14.00 * I        Apr8        *Humason
1945B     NGC5236         204.25000000 -29.86777778  -9.00000000 -99.00000000 SBc       5.1    21.  -100.   513.000   7.91   2.12   -97.0  -175.0   B 13.90 - -        Jul:        Liller
1946A     NGC3977         179.02916667  55.39083333  -9.00000000 -99.00000000 Sab       1.9    16.  -100.  5710.000  14.55   1.17 -9999.9 -9999.9   - 18.00 * -        May         *Hubble
1946B     NGC4632         190.63333333  -0.08250000  -9.00000000 -99.00000000 Sc        5.2    71.    63.  1715.000  12.15   1.48    16.0     6.0   - 15.70 * II:      May         *Hubble
1947A     NGC3177         154.14166667  21.12305556  -9.00000000 -99.00000000 Sb        3.0    42.   135.  1300.000  13.01   1.18    17.0   -40.0   - 16.50 * II       Mar15       *Hubble
1948A     NGC4699         192.25833333  -8.66444444  -9.00000000 -99.00000000 SBb       2.9    43.    45.  1446.000  10.35   1.59     0.0    46.0   - 17.00 * -        Mar5        *Hubble
1948B     NGC6946         308.71666667  60.15416667  -9.00000000 -99.00000000 SBc       5.9    29.  -100.    48.000   9.58   2.05   222.0    60.0   - 14.00 : IIP      Jun5        Mayall
1950A     IC4051          195.22916667  28.00944444  -9.00000000 -99.00000000 E        -4.9  -100.  -100.  4933.000  14.17   1.06    -2.0    13.0   - 15.00 - I:       Feb18       Humason
1950B     NGC5236         204.25000000 -29.86777778  -9.00000000 -99.00000000 SBc       5.1    21.  -100.   513.000   7.91   2.12  -105.0     0.0   - 14.50 * -        Mar15       *Haro
1950C     NGC5033         198.36666667  36.59388889  -9.00000000 -99.00000000 Sc        5.0    70.   170.   877.000  10.62   2.00   225.0   -50.0   - 18.20 * -        May14       *Zwicky
1950D     A084306+1810    130.77500000  18.16666667  -9.00000000 -99.00000000 Sc      -99.9  -100.  -100. -9999.900  17.00 -99.90    -8.0   -12.0   - 16.60 * -        Mar22       *Chai
1950F     M+02-36-31      211.19166667   8.82777778  -9.00000000 -99.00000000 SBd       8.0    69.     3.  1231.000  14.60   1.33   -11.0     1.0   - 16.20 * -        Feb18       *Zwicky
1950G     A094406+0921    146.02500000   9.35000000  -9.00000000 -99.00000000 Sc      -99.9  -100.  -100. -9999.900  17.50 -99.90     3.0     2.0   - 18.30 * -        Feb19       *Zwicky
1950H     NGC5857         226.86666667  19.59944444  -9.00000000 -99.00000000 SBb       2.9    63.   137.  4751.000  13.85   1.07    11.0   -22.0   - 18.10 * -        Mar17       *Zwicky
1950I     M+03-39-08      227.09583333  19.20944444  -9.00000000 -99.00000000 Sa      -99.9    53.  -100.  6146.000  15.55   0.74   -11.0    -1.0   - 20.20 * -        Apr20       *Zwicky
1950J     A151730+1946    229.37500000  19.76666667  -9.00000000 -99.00000000 Sb:     -99.9  -100.  -100. -9999.900  17.40 -99.90    -5.0     3.0   - 20.30 * -        Apr20       *Zwicky
1950K     A152148+1726    230.45000000  17.43333333  -9.00000000 -99.00000000 E:      -99.9  -100.  -100. -9999.900  16.90 -99.90    -6.0     3.0   - 20.00 * -        Apr20       *Zwicky
1950L     PGC0094270      235.54166667  21.96555556  -9.00000000 -99.00000000 Sa:     -99.9  -100.  -100. 12136.000  15.90 -99.90    -7.0    -8.0   - 19.90 * -        May16       *Zwicky
1950M?    NGC3266         158.32500000  64.74944444  -9.00000000 -99.00000000 S0       -2.0    33.   105.  2069.000  13.65   1.14     2.0     3.0   - 14.50 * -        Mar19       *Deutsch
1950N?    A170344+0025    255.93333333   0.41666667 255.93625000   0.42444444 -       -99.9  -100.  -100. -9999.900 -99.90 -99.90 -9999.9   -13.0   - 18.00 * -        Jun19       *Mueller
1950O?    A161509+1857    243.78750000  18.95388889 243.78912500  18.95400000 -       -99.9  -100.  -100. -9999.900 -99.90 -99.90    10.7   -10.6   - 17.00 * -        Apr18       *Mueller
1951A     A215518-0418    328.82500000  -4.30000000  -9.00000000 -99.00000000 SBb     -99.9  -100.  -100. 17098.000  15.60 -99.90     8.0    -8.0   - 16.60 * -        Aug8        *Chai
1951B     M+02-36-26      210.91250000  11.37805556  -9.00000000 -99.00000000 Sb        3.0    57.   157. 11509.000  14.90   1.04   -10.0    15.0   - 18.20 * -        Apr8        *Zwicky
1951C     A101906+0806    154.77500000   8.10000000  -9.00000000 -99.00000000 E:      -99.9  -100.  -100. -9999.900  17.80 -99.90   -12.0    -8.0   - 18.20 * -        Feb4        *Zwicky
1951D     A111148+0342    167.95000000   3.70000000  -9.00000000 -99.00000000 E:      -99.9  -100.  -100. -9999.900  18.50 -99.90     6.0    -1.0   - 19.60 * -        May3        *Zwicky
1951E     A152454+0819    231.22500000   8.31666667  -9.00000000 -99.00000000 Sc:     -99.9  -100.  -100. -9999.900  18.40 -99.90    -7.0    -2.0   - 20.00 * -        May26       *Zwicky
1951F     M-01-01-16        0.03750000  -6.37472222  -9.00000000 -99.00000000 Sa        1.1    90.   168.  6518.000  14.61   1.16    18.0    -9.0   - 17.30 * -        Aug6        *Zwicky
1951G     PGC0000744        2.64166667  -6.29694444  -9.00000000 -99.00000000 E1      -99.9  -100.   103. 25244.000  16.15   0.94     6.0     2.0   - 18.80 * -        Aug6        *Zwicky
1951H     NGC5457         210.80416667  54.34916667 210.98041667  54.36138889 SBc       5.9     7.  -100.   240.000   8.20   2.45   350.0    45.0   - 17.50 * II:      Sep27:19    0Humason
1951I?    NGC6181         248.08750000  19.82500000  -9.00000000 -99.00000000 SBc       5.0    66.   175.  2373.000  12.37   1.40 -9999.9 -9999.9   - 15.70 * -        Apr         *Deutsch
1951J?    M+00-15-01       84.46666667   0.11166667  -9.00000000 -99.00000000 Sb        3.0    19.  -100. -9999.900  16.00   1.02   -24.0    13.0   - 17.50 * -        Nov29       *Mueller
1952A     M+06-05-32       28.19166667  36.61861111  -9.00000000 -99.00000000 SBc       5.1    29.  -100.  5536.000  13.50   1.10    -5.0    12.0   - 18.60 * -        Sep14       *Zwicky
1952B     A092600+2927    141.50000000  29.45000000  -9.00000000 -99.00000000 Sc      -99.9  -100.  -100. -9999.900  16.00 -99.90     9.0   -11.0   - 17.80 * -        Jan31       *Chai
1952C     A130012-0321    195.05000000  -3.35000000  -9.00000000 -99.00000000 I:      -99.9  -100.  -100. -9999.900  18.10 -99.90    -5.0   -10.0   - 18.70 * -        Feb1        *Zwicky
1952D     A111730-0304    169.37500000  -3.06666667  -9.00000000 -99.00000000 Sc:     -99.9  -100.  -100. -9999.900  16.70 -99.90   -11.0    15.0   - 19.50 * -        Apr17       *Zwicky
1952E     A130948-0329    197.45000000  -3.48333333  -9.00000000 -99.00000000 S:      -99.9  -100.  -100. -9999.900  18.00 -99.90    10.0   -10.0   - 19.80 * -        Apr19       *Zwicky
1952F     A122824+1320    187.10000000  13.33333333  -9.00000000 -99.00000000 Sb:     -99.9  -100.  -100. -9999.900  18.50 -99.90     2.0    -2.0   - 16.90 * -        Jan30       *Zwicky
1952G     NGC5668         218.35000000   4.45055556  -9.00000000 -99.00000000 Scd       6.8    22.   109.  1583.000  12.20   1.51   -19.0   -25.0   - 17.90 * -        Apr18       *Zwicky
1952H     PGC0052879      222.14166667   6.82583333  -9.00000000 -99.00000000 Sb      -99.9  -100.  -100. 10371.000  14.97 -99.90     5.0    12.0   - 18.90 * -        Apr22       *Zwicky
1953A     NGC3561A        167.81250000  28.69805556  -9.00000000 -99.00000000 S0/a     -0.5  -100.  -100.  8580.000  14.67   0.90     5.0     1.0   - 16.00 * -        Apr16       *Arp
1953B     M+07-34-01      245.22500000  40.10416667  -9.00000000 -99.00000000 SBab      1.9    75.    65. 10172.000  14.52   1.13    20.0    -6.0   - 17.50 * -        May18       *Zwicky
1953C     M+08-33-45      277.17500000  48.24416667  -9.00000000 -99.00000000 Sc        5.8    67.   164.  4963.000  14.95   1.06   -15.0    35.0   - 19.00 * -        Jul11       *Chai
1953D     NGC3200         154.65000000 -17.98250000  -9.00000000 -99.00000000 SBc       4.7    77.   169.  3514.000  12.81   1.63    15.0    56.0   - 19.50 * -        Mar8        *Chai
1953E     M+05-55-36      353.41250000  30.04000000  -9.00000000 -99.00000000 SBc       5.3    44.  -100.  5375.000  14.94   1.09    11.0   -16.0   - 19.50 * -        Dec7        *Zwicky
1953F     M+05-55-42      354.49583333  31.99638889  -9.00000000 -99.00000000 Sb        3.2    19.  -100.  4982.000  14.10   0.98     1.0    10.0   - 19.00 * -        Dec7        *Zwicky
1953G     A105912+5016    164.80000000  50.26666667  -9.00000000 -99.00000000 S:      -99.9  -100.  -100. -9999.900  16.00 -99.90     8.0     6.0   - 16.50 * -        Feb14       *Notni,Oleak
1953H?    A110342+4951    165.92500000  49.85000000  -9.00000000 -99.00000000 -       -99.9  -100.  -100. -9999.900  19.50 -99.90     1.0    -3.0   - 17.00 * -        Mar16       *Notni,Oleak
1953I     M+01-56-15      332.05416667   4.69527778  -9.00000000 -99.00000000 Sc        5.8    46.  -100.  4057.000  14.43   1.11    -1.0     9.0   - 18.50 * -        Aug16       *Kowal
1953J?    UGC472           11.22916667  16.93638889  11.23191667  16.93633333 -       -99.9  -100.  -100.  4689.000  17.00 -99.90    14.5    -4.5   - 17.50 * -        Dec31       *Mueller
1953K?    IC4536          228.30416667 -18.13833333  -9.00000000 -99.00000000 SBd       7.9    38.    10.  2278.000  13.80   1.34    12.0    -3.0   - 16.00 * -        May18       *Fesen
1953L?    UGC3267          78.94583333  71.45916667  78.94383333  71.46155556 Sc        5.8    46.    15.  7036.000  15.38   1.19    -3.6     8.6   - 15.00 * -        Oct14       *Mueller
1954A     NGC4214         183.91250000  36.32694444  -9.00000000 -99.00000000 Im       10.0    39.  -100.   298.000  10.24   1.93    84.0  -216.0   B  9.30 - Ib       Apr19:      Wild
1954B     NGC5668         218.35000000   4.45055556 218.35054167   4.44511111 Scd       6.8    22.   109.  1583.000  12.20   1.51    -2.0   -20.0   - 12.60 - Ia       Apr30       Wild
1954C     NGC5879         227.44583333  57.00138889  -9.00000000 -99.00000000 Sbc       3.8    73.  -100.   771.000  12.18   1.60   -14.0   -11.0   - 14.90 : II:      Oct4:       Wild
1954D     M+05-02-22        8.05000000  31.68138889   8.04645833  31.67691667 Sbc       3.9    51.   135.  6343.000  14.91   1.14   -12.0   -17.0   - 17.40 * -        Oct3        *Kowal
1954E     NGC753           29.42500000  35.91611111  -9.00000000 -99.00000000 SBbc      4.1    37.   125.  4888.000  12.84   1.40   -42.0   -25.0   - 18.50 * -        Sep26       *Zwicky
1954F     PGC0001347        5.27916667  26.51416667  -9.00000000 -99.00000000 Sc        5.0    79.     3. 11663.000  15.54   0.78    -6.0     7.0   - 18.80 * -        Aug30       *Zwicky
1954G     A123524-1915    188.85000000 -19.25000000  -9.00000000 -99.00000000 Sc:     -99.9  -100.  -100. -9999.900  17.50 -99.90   -13.0    -5.0   - 16.60 * -        Mar6        *Zwicky
1954H     M-01-34-10      197.65000000  -7.64888889  -9.00000000 -99.00000000 Sc        6.0    60.   115.  6693.000  15.36   0.91    27.0   -17.0   - 17.40 * -        May30       *Zwicky
1954I     A111436-2054    168.65000000 -20.90000000  -9.00000000 -99.00000000 S:      -99.9  -100.  -100. -9999.900  17.50 -99.90     6.0     2.0   - 17.30 * -        Jan4        *Zwicky
1954J?    NGC2403         114.21250000  65.60250000  -9.00000000 -99.00000000 SBc       5.8    61.   127.   130.000   8.82   2.37    36.0   100.0   B 16.30 - IIpec?   Oct         Zwicky
1954K     A084536+6108    131.40000000  61.13333333  -9.00000000 -99.00000000 Sb      -99.9  -100.  -100. -9999.900  16.00 -99.90     3.0     4.0   - 15.00 * -        Nov26       *Zwicky
1954L     A110106+1220    165.27500000  12.33333333  -9.00000000 -99.00000000 Sb      -99.9  -100.  -100.  9904.000  15.70 -99.90   -20.0     6.0   - 19.30 * -        Feb10       *Zwicky
1954M     A144936+1017    222.40000000  10.28333333  -9.00000000 -99.00000000 S       -99.9  -100.  -100. -9999.900  17.70 -99.90    -3.0     0.0   - 17.50 * -        Jun3        *Zwicky
1954N     A144548+1010    221.45000000  10.16666667  -9.00000000 -99.00000000 S:      -99.9  -100.  -100. -9999.900  16.00 -99.90    -2.0     6.0   - 18.00 * -        Jun3        *Zwicky
1954O     A141942+1320    214.92500000  13.33333333  -9.00000000 -99.00000000 Sc      -99.9  -100.  -100. -9999.900  16.80 -99.90    15.0    -2.0   - 17.60 * -        May4        *Zwicky
1954P     A134800+0921    207.00000000   9.35000000  -9.00000000 -99.00000000 E:      -99.9  -100.  -100. -9999.900  19.20 -99.90    -2.0    -2.0   - 19.50 * -        Jun1        *Zwicky
1954Q     A135330+0943    208.37500000   9.71666667  -9.00000000 -99.00000000 -       -99.9  -100.  -100. -9999.900  20.00 -99.90   -12.0     8.0   - 18.50 * -        Jun1        *Zwicky
1954R     NGC210           10.14583333 -13.87388889  -9.00000000 -99.00000000 SBb       3.4    50.   160.  1636.000  11.63   1.67    86.0   -80.0   - 15.90 * -        Sep7        *Zwicky
1954S     A003542-0830      8.92500000  -8.50000000  -9.00000000 -99.00000000 I:      -99.9  -100.  -100. 17050.000  18.50 -99.90    -1.0    -6.0   - 17.40 * -        Sep7        *Zwicky
1954T     PGC0069331      339.30416667   3.72944444  -9.00000000 -99.00000000 S       -99.9    59.  -100. 12883.000  16.46   0.74     7.0    -7.0   - 19.00 * -        Jul31       *Zwicky
1954U     A235854-0536    359.72500000  -5.60000000  -9.00000000 -99.00000000 I:      -99.9  -100.  -100. -9999.900  18.70 -99.90    -6.0     6.0   - 17.80 * -        Sep5        *Zwicky
1954V     A001312-0735      3.30000000  -7.58333333  -9.00000000 -99.00000000 E1      -99.9  -100.  -100. -9999.900  19.00 -99.90    -4.0     7.0   - 20.00 * -        Sep5        *Zwicky
1954W     PGC0051719      217.16250000   0.54388889  -9.00000000 -99.00000000 Sa:     -99.9  -100.  -100.  1540.000  14.82 -99.90    15.0     5.0   - 19.40 * -        May6        *Zwicky
1954X     A135112+1738    207.80000000  17.63333333  -9.00000000 -99.00000000 Sbc     -99.9  -100.  -100. -9999.900  16.70 -99.90     3.0    -9.0   - 18.50 * -        Apr1        *Zwicky
1954Y?    M+03-35-37      208.62916667  15.04416667  -9.00000000 -99.00000000 S0       -2.0    39.  -100.  5534.000  13.97   0.91   -13.0     0.0   V 19.40 * -        Apr1        *Zwicky
1954Z     M+02-25-30      146.31250000   9.11166667  -9.00000000 -99.00000000 Sbc       4.0    60.    23.  5485.000  13.69   1.21   -14.0   -19.0   - 16.00 * -        Feb25       *Zwicky
1954aa    NGC4129         182.22083333  -9.03722222  -9.00000000 -99.00000000 SBab      2.1    90.    87.  1176.000  13.09   1.36   -53.0     6.0   - 19.90 * -        Apr2        *Zwicky
1954ab    A115818-0556    179.57500000  -5.93333333  -9.00000000 -99.00000000 Sc:     -99.9  -100.  -100. -9999.900  18.90 -99.90     0.0     1.0   - 17.50 * -        Apr2        *Zwicky
1954ac?   M+05-02-42       10.96250000  32.85277778  10.96158333  32.84247222 SBa       1.0    90.   178.  4772.000  14.42   1.22    -0.5   -38.2   - 18.00 * -        Oct4        *Mueller
1954ad?   UGC4467         128.19583333   0.22805556 128.19320833   0.22602778 S:      -99.9  -100.  -100.  9617.000  15.50 -99.90    -7.2    -5.9   - 17.50 * -        Dec21       *Mueller
1955A     NGC4157         182.76666667  50.48472222  -9.00000000 -99.00000000 SBb       3.3    90.    66.   775.000  12.10   1.82   103.0    40.0   - 16.00 * -        Apr14       *Zwicky
1955B     M-02-03-74       16.84583333 -13.21638889  -9.00000000 -99.00000000 SBa     -99.9    75.  -100. 16020.000  15.54   0.89    -2.0     5.0   - 16.40 : I:       Oct6:       Zwicky
1955C?    NGC23             2.47500000  25.92305556  -9.00000000 -99.00000000 SBa       1.2    49.     8.  4565.000  12.83   1.32    10.0    10.0   V 16.00 * -        Oct23       *Sandage
1955D     M-03-03-06       13.00416667 -16.40611111  -9.00000000 -99.00000000 Sbc       3.8    19.     5.  6392.000  14.11   0.99     1.0    12.0   - 15.50 * -        Nov18       *Haro
1955E     NGC4335         185.75833333  58.44416667  -9.00000000 -99.00000000 E        -4.8  -100.   145.  4548.000  13.55   1.28   -19.0    -7.0   - 16.30 * -        May10       *Zwicky
1955F     M+00-31-25      180.93750000   1.69333333  -9.00000000 -99.00000000 S0/a     -1.0    90.   140.  5971.000  14.72   1.10    15.0    17.0   - 19.50 * -        Apr20       *Zwicky
1955G     PGC0035168      171.53750000   3.49833333  -9.00000000 -99.00000000 Sb        3.0    35.  -100. 10544.000  15.09   0.81     8.0   -10.0   - 19.40 * -        Apr16       *Zwicky
1955H     A111048+0256    167.70000000   2.93333333  -9.00000000 -99.00000000 I:      -99.9  -100.  -100. -9999.900  19.40 -99.90     3.0    -3.0   - 18.80 * -        Apr16       *Zwicky
1955I     A141130+0109    212.87500000   1.15000000  -9.00000000 -99.00000000 Sa:     -99.9  -100.  -100.  7128.000  15.80 -99.90     1.0    -6.0   - 19.30 * -        May17       *Zwicky
1955J     PGC0050685      212.93750000   0.71555556  -9.00000000 -99.00000000 Sa      -99.9  -100.  -100.  7442.000  15.22 -99.90     3.0     2.0   - 17.90 * -        May17       *Zwicky
1955K     M+03-37-10      215.61250000  15.08527778  -9.00000000 -99.00000000 Irr      10.0    71.   165.  2240.000  14.08   0.86    -3.0    -7.0   - 18.40 * -        May12       *Zwicky
1955L     M+05-26-47      166.24583333  30.02694444  -9.00000000 -99.00000000 SBbc      4.4    40.  -100.  8723.000  14.63   0.93     8.0    14.0   - 16.50 * -        Mar23       *Lovas
1955M     NGC5857         226.86666667  19.59944444  -9.00000000 -99.00000000 SBb       2.9    63.   137.  4751.000  13.85   1.07   -27.0    25.0   - 14.50 * -        May14       *Zwicky
1955N     A111118+2421    167.82500000  24.18333333  -9.00000000 -99.00000000 I:      -99.9  -100.  -100. -9999.900  17.70 -99.90     4.0    -1.0   - 19.80 * -        Mar22       *Zwicky
1955O     A111230+2147    168.12500000  21.78333333  -9.00000000 -99.00000000 Sa:     -99.9  -100.  -100. -9999.900  17.00 -99.90     1.0     6.0   - 19.30 * -        Mar22       *Zwicky
1955P     A113206+2458    173.02500000  24.96666667  -9.00000000 -99.00000000 Sb:     -99.9  -100.  -100. -9999.900  17.20 -99.90   -13.0    -3.0   - 18.50 * -        Mar22       *Zwicky
1955Q?    A105606+2409    164.02500000  24.15000000  -9.00000000 -99.00000000 S       -99.9  -100.  -100. -9999.900 -99.90 -99.90    -4.0    -7.0   - 17.50 * -        Mar24       *Pollas
1955R?    UGC7740         188.67500000  49.32472222 188.67704167  49.33188889 Sc        5.8    90.    19.  8853.000 -99.90   0.99     3.8    26.0   - 18.00 * -        Apr24       *Mueller
1955S?    UGC9933         234.17916667  43.54000000 234.16920833  43.54388889 Sab       2.1    53.   165.  5588.000  14.11   1.20   -16.2    15.8   - 17.50 * -        Apr1        *Mueller
1956A     NGC3992         179.40000000  53.37527778  -9.00000000 -99.00000000 SBbc      3.9    56.    68.  1048.000  10.47   1.88    67.0    -9.0   - 12.40 - Ia       Mar17       Gates
